"","sample","ind5_breadth","ind4_breadth","breadth.ind6","ICE"
"113","D02182267",99.9939,70.0606,78.2251,"ind5"
"114","D02182272",99.9918,70.2453,78.1868,"ind5"
"115","D02182286",2.4992,1.1382,1.1863,"No_ICE"
"116","D02182290",7.713,6.161,4.0814,"No_ICE"
"117","D02182318",6.3255,5.7214,5.283,"No_ICE"
"118","D02182354",99.9796,70.025,78.201,"ind5"
"119","D02182400",8.2387,15.276,5.9882,"No_ICE"
"120","D02182404",2.4543,0.4752,1.1535,"No_ICE"
"121","D02182446",7.2464,5.0815,5.9915,"No_ICE"
"122","D02182503",99.9939,70.7582,78.2273,"ind5"
"123","D04181537",0,0,0,"No_ICE"
"124","D04181547",99.9847,69.9201,78.1398,"ind5"
"125","D04181552",99.9796,69.9431,78.1802,"ind5"
"126","D04181604",75.6718,66.5653,100,"ind6"
"127","D04181638",99.9929,70.0428,78.2196,"ind5"
"128","D04181646",99.9775,69.8771,78.1562,"ind5"
"129","D04181657",99.9816,70.0365,78.1977,"ind5"
"130","D04181685",99.9806,70.0208,78.2021,"ind5"
"131","D04181742",30.0025,21.4307,24.7455,"No_ICE"
"132","D04181753",82.617,58.2758,66.0846,"No_ICE"
"133","D05181661",7.3128,16.4152,6.115,"No_ICE"
"134","D05181665",99.9929,70.5212,78.2305,"ind5"
"135","D05181667",8.6971,14.0654,7.6523,"No_ICE"
"136","D05181675",99.9806,69.9662,78.1573,"ind5"
"137","D05181688",10.0284,19.8445,7.9344,"No_ICE"
"138","D05181695",99.9929,70.5768,78.2196,"ind5"
"139","D05181703",99.9939,71.3688,78.224,"ind5"
"140","D05181723",99.9929,70.0302,78.2076,"ind5"
"141","D05181742",99.9939,70.3732,78.213,"ind5"
"142","D05181745",99.9929,77.6661,78.2174,"ind5"
"143","D05181749",96.8464,68.8658,75.2851,"ind5"
"144","D05181753",99.9806,69.9924,78.1802,"ind5"
"145","D05181764",99.9826,70.0218,78.1977,"ind5"
"146","D05181765",99.9377,69.8246,78.0097,"ind5"
"147","D05181782",99.9939,70.3449,78.189,"ind5"
"148","D05181784",75.9739,69.1637,100,"ind6"
"149","D05181973",99.9816,70.817,78.201,"ind5"
"150","D05181976",97.1609,67.3069,75.5562,"ind5"
"151","D05181978",3.6651,3.766,3.9251,"No_ICE"
"152","D05181981",8.0774,12.3954,6.4715,"No_ICE"
"153","D05181982",32.6619,33.8124,25.8826,"No_ICE"
"154","D05181984",30.7783,25.5775,23.5713,"No_ICE"
"155","D05181990",15.3943,12.9052,11.9513,"No_ICE"
"156","D05181993",95.9123,66.5233,74.6378,"ind5"
"157","D05181994",82.9835,70.6082,64.3834,"No_ICE"
"158","D05182008",34.0963,37.6382,28.9155,"No_ICE"
"159","D10181702",76.8029,70.1393,100,"ind6"
"160","D10181706",75.8913,68.0507,100,"ind6"
"161","D10181707",75.637,66.539,100,"ind6"
"162","D10181710",76.2833,75.482,100,"ind6"
"163","D10181712",7.3771,6.6299,10.2643,"No_ICE"
"164","D10181725",75.6789,66.5275,100,"ind6"
"165","D10181726",99.9939,70.0638,78.3956,"ind5"
"166","D10181733",78.0627,80.6758,99.9934,"ind6"
"167","D10181742",77.8728,68.8563,100,"ind6"
"168","D10181744",70.2058,61.2876,93.2104,"ind6"
"169","D10181752",75.588,66.2159,99.9989,"ind6"
"170","D10181754",41.7848,35.6933,52.3217,"No_ICE"
"171","D10181757",76.3323,72.7766,99.9934,"ind6"
"172","D10181758",78.1321,66.9461,100,"ind6"
"173","D10181763",66.3427,57.8719,87.4124,"No_ICE"
"174","D10181765",75.5247,66.1666,99.9574,"ind6"
"175","D10181767",75.6861,66.6146,100,"ind6"
"176","D10181773",75.8627,66.9051,100,"ind6"
"177","D10181790",75.7003,66.6618,100,"ind6"
"178","D10181796",75.877,76.5856,100,"ind6"
"179","D10181798",9.6915,8.2244,12.0836,"No_ICE"
"180","D10181801",75.6932,66.6177,100,"ind6"
"181","D10181806",72.6744,63.2839,97.2962,"ind6"
"182","D10181811",99.7039,69.299,94.5934,"ind5"
"183","D10181828",74.6947,70.3197,99.0477,"ind6"
"184","D10181838",12.4765,11.2288,15.3417,"No_ICE"
"185","D10181847",99.9826,70.0218,78.1901,"ind5"
"186","D10181855",62.6123,54.3755,83.4884,"No_ICE"
"187","D10181893",99.9939,70.0449,78.294,"ind5"
"188","D10182039",99.9939,70.0554,78.2185,"ind5"
"189","D10182063",99.9929,70.0596,78.2207,"ind5"
"190","D10182075",99.9939,70.2064,78.2065,"ind5"
"191","D10182082",99.8561,69.5477,77.8752,"ind5"
"192","D10182089",99.9929,70.0334,78.2076,"ind5"
"193","D10192216",99.9245,70.4372,77.8971,"ind5"
"194","D15180677",1.3895,0,0,"No_ICE"
"195","D15180683",99.9929,70.9565,78.5159,"ind5"
"196","D15180765",99.9939,70.047,78.2109,"ind5"
"197","D15180780",99.9939,70.3051,78.1956,"ind5"
"198","D15180812",0.3083,0.3168,0.3302,"No_ICE"
"199","D15180828",15.525,25.0687,13.7848,"No_ICE"
"200","D15180852",99.2935,69.342,77.6358,"ind5"
"201","D17181269",75.5319,66.1876,99.9049,"ind6"
"202","D17181353",99.9939,71.0981,78.2273,"ind5"
"203","D17181367",99.9929,70.5474,78.0534,"ind5"
"204","D17181373",99.9949,70.0669,78.2262,"ind5"
"205","D17181376",99.9918,70.0155,78.1956,"ind5"
"206","D17181378",99.9929,70.0229,78.1988,"ind5"
"207","D17181382",99.9929,84.511,79.6563,"ind5"
"208","D17181384",99.9939,70.0648,78.2371,"ind5"
"209","D17181388",99.9939,70.3628,78.2043,"ind5"
"210","D17181390",99.9602,74.1665,78.1485,"ind5"
"211","D17181396",99.9918,69.9557,78.1988,"ind5"
"212","D17181397",99.9939,70.2757,78.201,"ind5"
"213","D17181399",99.9929,70.6701,79.0495,"ind5"
"214","D17181408",99.9816,69.9662,78.1824,"ind5"
"215","D17181424",99.9939,70.3722,78.224,"ind5"
"216","D17181428",99.9949,70.0418,78.2196,"ind5"
"217","D17181435",99.3926,69.5938,95.5829,"ind5"
"218","D17181456",99.9939,70.0963,78.2294,"ind5"
"219","D17181461",75.6942,66.6188,100,"ind6"
"220","D17181529",99.9939,70.0617,78.2284,"ind5"
"221","D17181538",99.9939,70.0596,78.4416,"ind5"
"222","D17181550",5.1709,3.7335,4.088,"No_ICE"
"223","D17181779",99.9939,70.0617,78.2382,"ind5"
"224","D17181835",99.9949,70.0554,78.2284,"ind5"
