Vc,e_coli,b_longum,b_breve,b_vulgatus,ICP3,ICP1,ICP2,ICP2_Haiti,Sample
0.179046692242188,0.0465862751809283,1.94426421094732e-05,9.99775672453955e-06,2.13776917980938e-05,0,0,0,0,1274300
0.00727580239653368,0.000244941292795305,0,0,0,0.00917066469414366,0,0,0,1274767
0.297901141221947,0.0491909626722178,9.55849824754247e-05,3.66931964301173e-05,0.000321422870027456,0,0,0,0,1274791
0.000209566359224147,0.000254525576568782,0,0,0,0,0,0,0,1274897
0.00120870991318162,0.171466792875487,0,0,2.50759286581805e-06,0,0,0,0,1276100
0.276729277955712,0.0104582051532698,0,1.93204492004439e-06,3.46848064217493e-05,0,0,0,0,1276667
0.508963432690597,0.00650515652966382,2.74130816644733e-06,2.48330269195817e-06,4.92145442588074e-05,0,0,0,0,1276693
0.085615380557487,0.00899091512760529,0,0,0,0,0,0,0,1276704
0.76973589965547,2.61681848770544e-05,0,0,0,0,0,0,0,1277101
0.386457942979279,0.00291863866693918,0,0,3.18767126663626e-06,0,0,0,0,1277103
0.458133802251743,0.124154806858967,3.38785673987696e-05,2.98005916933622e-05,0.000200605035662159,0,0.223801711672792,0,0,1277300
0.000930783289421416,0.073762026698106,0.000111350552063963,2.80053346305449e-05,0.000142206729141929,0,0.618096919788831,0,0,1277550
0.400106065746823,0.168577127090605,7.88574000267505e-06,7.47873406705311e-06,0.000162090113861437,0,0.0964462632861364,0,0,1277850
0.0461414991209691,0.0163359598091766,8.97140416616001e-05,6.75690142774728e-05,0.00287691920513493,0.0045688793395499,0,0,0,1277967
0.00112671492923467,1.51012637733566e-06,0,0,0,0,0,0,0,1279435
0.43116696037374,8.59453049438955e-05,0,0,0,0,0,0,0,1279444
3.55756369472401e-05,0.881960796477031,3.03947189452148e-06,6.42433832251132e-06,0,9.78157318782368e-05,0,0,0,1279448
0.113120656072942,0.00206155120182862,8.79242524748501e-05,2.87306543406526e-05,0.000208635251667857,0.00451155775072777,0,0,0,1280950
0.551306374261599,0.126646689954573,6.15701594342451e-05,0.000101046332396266,2.21731763878953e-06,0,0,0,0,1281033
0.000170552845123233,0.104065395048307,3.29466420683846e-05,1.23901901795634e-05,0.000278732346501618,0,0,0,0,1281050
0.0124992033364213,0.179929838084417,1.65790847597226e-06,0,8.79077052375989e-06,0,0,0,0,1281469
0.013088682263361,0.135433227473136,0.000552299537311218,1.35650841992896e-05,0.000649595581374433,0.0118233082823484,5.3973750511258e-06,0,0,1283200
0.00660678281152516,0.000225300752975117,5.64722513984628e-06,0,2.49026941930721e-05,0,0,0,0,1283250
0.00112460108457967,0.119505736504506,2.54114426182123e-05,2.1647975800072e-05,0.00082490689360007,0.0357832033387934,0,0,0,1283700
0.0346430456297826,0.000275323408973948,0,0,1.11626471561104e-06,1.18192734594111e-06,6.82891355432639e-06,0,0,1283870
0.00287005419013328,0.222557028002531,7.60620621166802e-06,2.76589316787928e-06,0.000161113277028968,0.0145784571370164,0.00240613847242989,0,0,1284200
0.757913379837219,0.00489976864690308,0.000251733204341167,5.28941542956243e-05,0.00144267015420232,0,0,0,0,1284579
0.606475766999448,0.00367319572262705,3.01143919792054e-05,5.89981477477222e-06,0.000128492898468966,0,0,0,0,1285155
0.438719061036198,0.0648450094516845,8.94126937802962e-06,4.15281705709433e-06,9.11077211505388e-06,0,1.99165716003503e-06,0,0,1285850
0.00331095185028875,0.116919677632809,4.76278775196566e-05,3.03041624840095e-05,5.72521636505717e-05,0.0176285334517729,0,0,0,1287100
8.95482434776835e-05,0.850811828253492,0,0,0,0,0,0,0,1287200
0.0103856988214791,0.021479127041467,4.19452448039011e-05,3.59731412723574e-05,1.84081308854641e-05,0,2.24832132952234e-06,0,0,1287250
0.346021838023589,0.00608103201978108,6.47148883412723e-05,6.61856812581194e-05,0.00443885302304454,0,0,0,0,1287950
1.01910326781955e-05,0.262938440653957,5.27258061342934e-06,8.94371323457082e-05,4.48562828306675e-06,3.58063310314978e-06,0,0,0,1287962
0.00080850415453807,0.003533821532856,0,0,1.48298761443233e-06,0.0173820633406772,1.37952336226263e-06,0,0,1287972
0.0844443704513731,0.00901393544064924,0.00618191825424186,0.0050287855023115,0.00271365242149836,0,0,0,0,1288650
0.459294692938888,0.000735760961954005,0.00013158801819562,0.000108241756902849,0.00382564257439931,0,0,0,0,1289150
0.744550355731345,0.216415260504468,0,0,0,0,0,0,0,1289750
0.302711892608971,0.0183554761062521,0.000305410382829463,0.000170316447066941,0.00600985213768096,0,0,0,0,1289800
0.00831765425825008,0.147176971527137,2.28176194331079e-05,1.2972116004245e-05,3.7253256217319e-06,0.0678688469844454,0,0,0,1289950
0.00923093388510832,0.367390887720958,5.71644427895939e-05,6.29932496096631e-05,0.0496738642130995,0.00632832854189027,0,0,0,1290250
0.177234477912157,0.155229871975299,5.97915853887725e-05,6.07839768475073e-06,0.00868832519675711,0.0283768135178603,0,0,0,1290550
0.806065552864145,0.00644705200007531,3.29982970937623e-06,1.90225477364042e-06,5.88146118788823e-05,0,0,0,0,1293000
0.027230088228475,0.0022073859746121,0.0010388155406572,0.000158675580061147,0.0115684688039442,0.00420951271263134,0.00455005865173505,0,0,1293031
0.341039409148069,0.0240713989693649,1.01480607031124e-05,3.7010574328998e-05,0.000559735191330492,0,3.28319610983047e-06,0,0,1294750
0.451046380127992,0.0788235134242914,0.000525079315414833,5.67438320912886e-05,5.1374380690127e-06,0,0.219534826526946,0,0,1296600
0.851590341902911,0.000803619467764036,8.437880325047e-05,2.5313640975141e-05,0.000742462562046783,0,2.58808934339677e-06,0,0,1296800
0.0206332551051734,0.0213309282335231,0.00012968675447454,8.33370320642987e-05,0.00366636706945847,0.0118581314750909,0.00321893620798704,0,0,1297300
0.00347349680430895,0.419601728472259,4.96669954655554e-06,1.10990530683231e-05,0,0.0013424279345833,0,0,0,1299400
0.703423458113808,0.0168109029570635,1.42387904578655e-05,2.64486438530326e-06,3.16659105856857e-05,0,0,0,0,1299650
0.912462909313009,0.0207462970700769,1.94956732422627e-05,1.68647692407117e-06,3.65965492523443e-05,0,0,0,0,1302800
0.63978192297876,0.00406134482247465,4.60508178841578e-05,2.08621937707689e-05,0.000878925323502413,0,0,0,0,1302850
0.000145933305129388,0.659435218008143,3.48417441080266e-06,2.21111068377861e-06,6.49932534322803e-06,2.71363583918284e-05,0,0,0,1305100
0.00407261021355514,0.0353722065343938,7.21423993965905e-05,7.67902290495921e-06,0.000364399948772834,0.00126719033898087,0,0,0,1305250
0.0407803354612509,0.0638859423766394,0.000180958341009044,0.000170583662141932,0.00409966076130192,0.034483636936783,0,0,0,1309600
7.86662321431818e-05,0.809686609232591,2.60772040253641e-06,5.43275083861753e-06,0.000112204413986914,0,0,0,0,1310500
0.128755680666006,0.0418186827722666,0.000631146731557215,5.00658536654748e-05,0.237885953073828,0,0,0,0,1310800
0.662082092179502,0.131498910504717,6.89855587355982e-06,1.26170956108528e-05,0.000154899810503024,0,0,0,0,1311100
0.0711020353154152,0.0324252836706302,1.49470233895589e-06,0,5.52209475225371e-06,0,0,0,0,1313450
0.00702662721893491,0.0519659439649972,0.000148591033340297,9.64554418155765e-05,0.00197839398103331,0.00538762030724506,4.2296952559738e-06,0,0,1314850
0.0968905428673656,0.00302456508667536,1.78553881184417e-05,1.9312970821988e-05,0.000196085362035404,0,0,0,0,1315500
0.00022517415967552,0.00128560132794849,0,0,3.38689905382878e-06,2.45823318423057e-06,0,0,0,1317650
0.379661473695219,0.05259235875317,4.77055794943239e-06,1.02923848672793e-05,0.000393589812552382,0,0,0,0,1318050
0.880018615484899,0.000341649431336562,0,9.60959684434406e-07,1.334038150156e-05,0,0,0,0,1318150
0.000170629257025017,0.0225384309864824,2.15820831039692e-06,1.7788868497817e-05,6.80162619034181e-06,1.78542687496472e-05,0,0,0,1318300
0.886754545499479,0.0027818180265942,4.50558036347983e-05,5.43283942287233e-06,1.71971834363101e-05,0,0,0,0,1318700
0.805773715452402,0.0381790124452439,0,0,0,0,0,0,0,1318750
0.070845821382417,0.00244001884594864,3.24003067550745e-05,2.01640206933176e-05,0.000106679733411655,0.00349561394634668,0,0,0,1318950
