Vibrio.cholerae,Escherichia.coli,Escherichia.albertii,Klebsiella.pneumoniae,Shigella.dysenteriae,Shigella.flexneri,Shigella.boydii,Salmonella.enterica,Brachyspira.pilosicoli,Faecalibacterium.prausnitzii,Roseburia.Lachnospiraceae bacterium GAM79,Roseburia.[Eubacterium] rectale,Roseburia.intestinalis,Streptococcus.pasteurianus,Streptococcus.gallolyticus,Streptococcus.equinus,Streptococcus.mitis,Streptococcus.infantarius,Streptococcus.lutetiensis,Lactobacillus.ruminis,Enterococcus.faecium,Bifidobacterium.longum,Bifidobacterium.breve,Bifidobacterium.kashiwanohense,Collinsella.aerofaciens,Fusobacterium.mortiferum,Bacteroides.thetaiotaomicron,Bacteroides.vulgatus,Bacteroides.fragilis,Prevotella.dentalis,Prevotella.intermedia,Prevotella.ruminicola,ICP3,Bifidobacterium.pseudocatenulatum,Bifidobacterium.adolescentis,ICP1,ICP2,Sample
0.179046692242188,0.0465862751809283,0.000610047450643448,0.000493023017093538,0.000230455203392382,0.000128496513846732,0.000101912616934016,0.000286387353915843,0.00545886731682186,0.000291685704253732,6.30273327150696e-05,1.00899019478072e-05,2.52017185637011e-05,0.000113799350735542,8.46353875713325e-05,1.90740612164026e-05,5.20620511462198e-06,4.19260765867788e-06,3.08686497946613e-06,9.72132105473661e-06,2.60310255731099e-05,1.94426421094732e-05,9.99775672453955e-06,1.6125414071838e-06,5.52871339605874e-06,0.00454395739499741,2.24373618656717e-05,2.13776917980938e-05,1.63097045183733e-05,2.01337312839806e-05,7.09518219160871e-06,5.06798727972051e-06,0,0,0,0,0,1274300
0.00727580239653368,0.000244941292795305,2.58944752433484e-06,1.83987060939581e-06,1.80579893144404e-06,0,1.09029369445678e-06,2.75980591409372e-06,0,2.11244403301e-06,0,0,0,0,0,0,0,1.12436537240855e-06,1.3287954401192e-06,0,0,0,0,0,0,2.21465906686533e-06,0,0,0,0,0,0,0.00917066469414366,0,0,0,0,1274767
0.297901141221947,0.0491909626722178,0.000279487788393037,8.92708934793331e-05,0.000263762132780129,0.000153761965992873,0.000121834119748485,0.000390917560236012,4.80506143727727e-06,0.00413290879358012,0.000239061734317431,0.000971694614121798,0.000374119700831315,0.000142444259301765,7.74369405181048e-06,5.34116333317184e-05,4.32058416839477e-05,6.15524398990063e-06,5.83755397751867e-06,1.10397279302734e-05,3.43105213372526e-05,9.55849824754247e-05,3.66931964301173e-05,0.000487693880257869,0.000156899154865145,2.93863261453321e-06,0.000962561026265816,0.000321422870027456,0.000400329126852828,0.000700069653535215,0.000733546238589965,0.00103821096046427,0,0.000421812913940158,6.29026224516297e-05,0,0,1274791
0.000209566359224147,0.000254525576568782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12812796289123e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274897
0.00120870991318162,0.171466792875487,0.00073788427669562,0.00038190639346409,0.000633518261620273,0.000366158710266752,0.000314151234229686,0.000567969784107789,0,0.000102159333353428,0,4.21275601457433e-06,0,0,0,0,3.92689042787107e-05,2.80850400971622e-06,3.81154115604344e-06,0,1.10835604669158e-05,0,0,1.90577057802172e-06,1.33905459034684e-05,3.20971886824711e-06,3.16458219666238e-05,2.50759286581805e-06,3.20470368251547e-05,1.36914570473666e-05,2.72826103801004e-05,1.33905459034684e-05,0,0,0,0,0,1276100
0.276729277955712,0.0104582051532698,5.11991903811764e-05,2.72326331587209e-05,3.06367123035611e-05,2.31385379710078e-05,1.7572408558499e-05,5.04171721992536e-05,0,0.000536832481355191,5.38212513440937e-06,5.29012299535964e-06,6.21014438585697e-06,0,0,0,2.48865786129528e-05,3.72608663151418e-06,0,0,1.70203957242006e-06,0,1.93204492004439e-06,0,5.42352609698175e-05,0.00620973037623125,8.19279048237871e-05,3.46848064217493e-05,7.6453777550328e-05,0.000234835459924443,0.00018773036473098,0.000221679154040331,0,0,0,0,0,1276667
0.508963432690597,0.00650515652966382,3.55402541108819e-05,2.23497242276235e-05,1.99309229042876e-05,1.40935490439704e-05,1.09652326657893e-05,3.29601993659902e-05,2.2897985860913e-06,0.000727672190112366,1.58350859967722e-05,1.56415818909054e-05,1.94149119553093e-05,0,0,1.87053969004641e-06,0,1.38677942537924e-06,0,0,2.64455611351389e-06,2.74130816644733e-06,2.48330269195817e-06,0,0.000173282926803782,0.0281748105772182,0.000114844686831988,4.92145442588074e-05,0.000104556718536732,0.000289062883480793,0.000229657122979664,0.000279258675450205,0,1.19327531951237e-06,1.70928626849069e-06,0,0,1276693
0.085615380557487,0.00899091512760529,6.19192319786502e-05,2.31410772634288e-05,4.98768849755455e-05,2.74098196712457e-05,2.58371250999447e-05,4.76751125757241e-05,3.59473044868796e-06,4.62821545268575e-06,0,0,0,2.02203587738698e-06,0,3.28019153442777e-06,3.5453029050185e-05,0,0,0,0,0,0,0,0,0,0,0,3.90926936294816e-06,0,0,0,0,0,0,0,0,1276704
0.76973589965547,2.61681848770544e-05,0,8.76612495052239e-06,0,0,0,1.13699244407766e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277101
0.386457942979279,0.00291863866693918,1.7549329984062e-05,1.91603036349427e-05,2.3204875779707e-05,1.22022685045431e-05,1.11739874507895e-05,6.60841957212334e-05,0,4.97002509314255e-06,0,0,0,0.000247678629814125,1.28877892070455e-05,1.57669761575557e-06,0,0,3.11911919638602e-06,0,0,0,0,0,0,0,0,3.18767126663626e-06,0,0,0,0,0,0,0,0,0,1277103
