Vc,e_coli,b_longum,b_breve,b_vulgatus,ICP3,ICP1,ICP2,ICP2_Haiti,Sample
15518293,773192,32,0,19362,0,0,0,0,1319650
20371364,475516,278,190,474,0,0,0,0,1321850
4766,16726681,1335,1192,0,0,0,0,0,1321900
7150884,592180,226,216,20653,0,0,0,0,1323500
13595748,500,47,69,978,0,0,0,0,1323750
2987427,21859,1965,1156,28186,0,0,0,0,1325700
1108331,86957,42,0,104,0,0,0,0,1326450
27901900,261791,120,109,9164,0,249,0,0,1331650
20796667,8844,0,178,144,0,259459,0,0,1335800
11631,1847371,1252,147,1557,43391,0,0,0,1339300
7962418,1383791,537,257,15165,393,6872295,0,0,1343350
4233073,116001,75,100,136,0,18028736,0,0,1346150
999039,632287,10257,1142,6499,0,0,0,0,1350900
2301,11015617,134,135,0,0,0,0,0,1351200
22386182,262349,14233,716,10086,0,0,0,0,1356500
20143298,378185,1255,678,3464,0,0,0,0,1362500
4221665,399574,4137,1718,31724,0,0,0,0,1362600
27453168,49764,0,0,55,0,0,0,0,1365100
14112507,11979,420,79,1055,0,0,0,0,1365150
821449,5801569,87,33,0,0,2307590,0,0,1366350
1522211,4788,0,184,974,0,12473900,0,0,1368050
20415222,235772,0,0,573,0,0,0,0,1373300
27275956,4420,27332,595,36,0,0,0,0,1376450
76654,3411440,1211,3669,179,0,33,0,0,1383600
13098,1914019,2956,275,12898,0,1773020,0,0,1385750
4949701,579647,77,44,764,0,23664681,0,0,1385800
295,553579,248698,165414,22211,0,0,0,0,1394550
9385894,1411605,2538,4512,42264,0,89,0,0,1444100
3513619,1175637,0,0,422,0,0,0,0,1446100
456160,42689,428,792,6749,0,359532,0,0,1446300
1545616,167175,335,576,16436,0,2517658,0,0,1449850
29877219,289642,570,65,186,0,566,0,0,1450100
3233695,2106203,767,196,1058,0,16276642,0,0,1450500
346832,2597079,216331,26123,36847,0,24565,0,0,1458300
1062,9969541,12120,872,0,0,143,0,0,1462450
